Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
29.914038240,0,1,0,0,0,0,0,1
29.914038400,0,1,0,0,0,1,1,0
29.920836160,0,1,0,0,1,1,1,0
29.926455520,1,0,0,0,1,0,0,0
30.329898560,1,0,0,0,1,1,0,0
30.329898720,1,0,0,0,0,1,0,0
30.330578560,1,0,0,0,1,0,1,0
30.330953920,1,0,0,0,0,0,0,1
30.330976960,1,0,0,0,1,1,0,0
30.387545920,1,0,0,0,1,0,0,1
30.408929600,0,1,0,0,1,0,0,1
30.414049440,0,1,0,0,0,0,1,0
30.414049600,0,1,0,0,0,0,0,1
30.414049760,0,1,0,0,0,1,1,0
30.420852640,0,1,0,0,1,1,1,0
30.426471200,1,0,0,0,1,0,0,0
30.908946560,0,1,0,0,1,0,0,1
30.914069760,0,1,0,0,0,0,1,0
30.914070080,0,1,0,0,0,0,0,1
30.914070400,0,1,0,0,0,1,1,0
30.920869600,0,1,0,0,1,1,1,0
30.926488160,1,0,0,0,1,0,0,0
31.329991520,1,0,0,0,0,1,0,0
31.330670240,1,0,0,0,1,0,1,0
31.331047040,1,0,0,0,0,0,0,1
31.331069920,1,0,0,0,1,1,0,0
31.387569920,1,0,0,0,1,0,0,1
31.408954240,0,1,0,0,1,0,0,1
31.414074240,0,1,0,0,0,0,1,0
31.414074400,0,1,0,0,0,0,0,1
31.414074720,0,1,0,0,0,1,1,0
31.420877440,0,1,0,0,1,1,1,0
31.426495520,1,0,0,0,1,0,0,0
31.908979520,1,1,0,0,1,0,0,1
31.908979680,0,1,0,0,1,0,0,1
31.914103040,0,1,0,0,0,0,1,0
31.914103360,0,1,0,0,0,0,0,1
31.914103680,0,1,0,0,0,1,1,0
31.920902080,0,1,0,0,1,1,1,0
31.926521440,1,0,0,0,1,0,0,0
32.330244160,1,0,0,0,0,1,0,0
32.331022240,1,0,0,0,1,1,1,0
32.331022400,1,0,0,0,1,0,1,0
32.331650720,1,0,0,0,0,0,0,1
32.331673760,1,0,0,0,1,1,0,0
32.387577120,1,0,0,0,1,0,0,1
32.408891840,0,1,0,0,1,0,0,1
32.414011840,0,1,0,0,0,0,1,0
32.414012000,0,1,0,0,0,0,0,1
32.414012160,0,1,0,0,0,1,1,0
32.420814720,0,1,0,0,1,1,1,0
32.426433120,1,0,0,0,1,0,0,0
32.908995360,0,1,0,0,1,0,0,1
32.914117920,0,1,0,0,0,0,1,0
32.914118240,0,1,0,0,0,0,0,1
32.914118560,0,1,0,0,0,1,1,0
32.921176800,0,1,0,0,1,1,1,0
32.926796640,1,0,0,0,1,0,0,0
33.330265760,1,0,0,0,0,1,0,0
33.331036960,1,0,0,0,1,0,1,0
33.331666080,1,0,0,0,0,0,0,1
33.331688960,1,0,0,0,1,1,0,0
33.387592800,1,0,0,0,1,0,0,1
33.408994080,1,1,0,0,1,0,0,1
33.408994240,0,1,0,0,1,0,0,1
33.414114080,0,1,0,0,0,0,1,0
33.414114240,0,1,0,0,0,0,0,1
33.414114720,0,1,0,0,0,1,1,0
33.421176000,0,1,0,0,1,1,1,0
33.426794720,1,0,0,0,1,0,0,0
33.909019680,0,1,0,0,1,0,0,1
33.914143040,0,1,0,0,0,0,1,0
33.914143360,0,1,0,0,0,0,0,1
33.914143680,0,1,0,0,0,1,1,0
33.921201600,0,1,0,0,1,1,1,0
