Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
54.426418350,0,0,0,1,0,0,0,0,1,1
54.426427000,0,0,0,1,0,0,0,0,1,0
54.426435600,0,0,0,1,0,0,0,0,1,1
54.426452900,0,0,0,1,0,0,0,0,1,0
54.426470200,0,0,0,1,0,0,0,0,1,1
54.426478850,0,0,0,1,0,0,0,0,1,0
54.426496100,0,0,0,1,0,0,0,0,1,1
54.426513400,0,0,0,1,0,0,0,0,1,0
54.426522000,0,0,0,1,0,0,0,0,1,1
54.426539300,0,0,0,1,0,0,0,0,1,0
54.426547950,0,0,0,1,0,0,0,0,1,1
54.426599800,0,0,0,1,0,0,0,0,1,0
54.426600500,0,0,0,1,0,0,0,1,1,0
54.426600800,0,0,0,1,1,1,0,1,1,0
54.426600950,0,0,0,0,1,1,0,1,1,0
54.426601100,0,0,0,1,1,1,1,1,1,0
54.426601150,0,0,0,1,0,0,1,1,1,0
54.426677550,0,0,0,1,0,0,1,1,1,1
54.427908650,1,0,0,1,0,0,1,0,1,1
54.427909950,1,0,0,1,0,0,1,1,1,1
54.749849700,0,0,0,0,1,0,1,0,1,1
54.749871750,0,0,0,0,1,0,1,1,1,1
54.927913450,1,0,0,1,0,0,1,0,1,1
54.927915650,1,0,0,1,0,0,1,1,1,1
55.425694650,0,0,0,1,0,0,1,0,1,1
55.425696100,0,0,0,0,1,0,0,0,1,1
55.425719200,0,0,0,0,1,0,0,1,1,1
55.425720350,0,0,0,0,0,0,1,0,1,1
55.425720650,0,0,0,0,0,0,1,1,1,1
55.425720950,0,0,0,0,1,1,0,0,1,1
55.425722050,0,0,0,1,1,1,0,0,1,1
55.425726550,0,0,0,1,0,0,0,0,1,1
55.425741600,0,0,0,1,0,0,0,0,1,0
55.425750200,0,0,0,1,0,0,0,0,1,1
55.425758850,0,0,0,1,0,0,0,0,1,0
55.425819300,0,0,0,1,0,0,0,0,1,1
55.425827950,0,0,0,1,0,0,0,0,1,0
55.425836600,0,0,0,1,0,0,0,0,1,1
55.425845250,0,0,0,1,0,0,0,0,1,0
55.425862500,0,0,0,1,0,0,0,0,1,1
55.425871150,0,0,0,1,0,0,0,0,1,0
55.425905700,0,0,0,1,0,0,0,0,1,1
55.425914350,0,0,0,1,0,0,0,0,1,0
55.425923000,0,0,0,1,0,0,0,0,1,1
55.425931650,0,0,0,1,0,0,0,0,1,0
55.425992100,0,0,0,1,0,0,0,0,1,1
55.426000750,0,0,0,1,0,0,0,0,1,0
55.426009400,0,0,0,1,0,0,0,0,1,1
55.426018050,0,0,0,1,0,0,0,0,1,0
55.426069900,0,0,0,1,0,0,0,0,1,1
55.426087200,0,0,0,1,0,0,0,0,1,0
55.426095800,0,0,0,1,0,0,0,0,1,1
55.426104450,0,0,0,1,0,0,0,0,1,0
55.426164900,0,0,0,1,0,0,0,0,1,1
55.426173550,0,0,0,1,0,0,0,0,1,0
55.426182200,0,0,0,1,0,0,0,0,1,1
55.426190850,0,0,0,1,0,0,0,0,1,0
55.426199500,0,0,0,1,0,0,0,0,1,1
55.426216800,0,0,0,1,0,0,0,0,1,0
55.426225400,0,0,0,1,0,0,0,0,1,1
55.426234050,0,0,0,1,0,0,0,0,1,0
55.426242700,0,0,0,1,0,0,0,0,1,1
55.426260000,0,0,0,1,0,0,0,0,1,0
55.426277250,0,0,0,1,0,0,0,0,1,1
55.426285900,0,0,0,1,0,0,0,0,1,0
55.426303150,0,0,0,1,0,0,0,0,1,1
55.426346400,0,0,0,1,0,0,0,0,1,0
55.426355000,0,0,0,1,0,0,0,0,1,1
55.426380950,0,0,0,1,0,0,0,0,1,0
55.426424100,0,0,0,1,0,0,0,0,1,1
55.426432800,0,0,0,1,0,0,0,0,1,0
55.426441400,0,0,0,1,0,0,0,0,1,1
55.426476000,0,0,0,1,0,0,0,0,1,0
55.426501900,0,0,0,1,0,0,0,0,1,1
55.426519200,0,0,0,1,0,0,0,0,1,0
55.426527800,0,0,0,1,0,0,0,0,1,1
55.426536450,0,0,0,1,0,0,0,0,1,0
55.426545100,0,0,0,1,0,0,0,0,1,1
55.426562400,0,0,0,1,0,0,0,0,1,0
55.426579650,0,0,0,1,0,0,0,0,1,1
55.426588300,0,0,0,1,0,0,0,0,1,0
55.426596900,0,0,0,1,0,0,0,0,1,1
55.426605600,0,0,0,1,0,0,0,0,1,0
55.426606200,0,0,0,1,0,0,0,1,1,0
55.426606500,0,0,0,1,1,1,0,1,1,0
55.426606650,0,0,0,0,1,1,0,1,1,0
55.426606800,0,0,0,1,0,0,1,1,1,0
55.426683300,0,0,0,1,0,0,1,1,1,1
55.427918500,1,0,0,1,0,0,1,0,1,1
55.427919700,1,0,0,1,0,0,1,1,1,1
55.749824650,0,0,0,0,1,0,1,0,1,1
55.749846450,0,0,0,0,1,0,1,1,1,1
55.927930400,1,0,0,1,0,0,1,0,1,1
55.927933050,1,0,0,1,0,0,1,1,1,1
56.425711300,0,0,0,1,0,0,1,0,1,1
56.425712850,0,0,0,0,1,0,0,0,1,1
56.425736950,0,0,0,0,1,0,0,1,1,1
56.425737850,0,0,0,0,0,0,1,0,1,1
56.425738200,0,0,0,0,0,0,1,1,1,1
56.425738450,0,0,0,0,1,1,0,0,1,1
56.425739550,0,0,0,1,1,1,0,0,1,1
56.425744300,0,0,0,1,0,0,0,0,1,1
56.425756000,0,0,0,1,0,0,0,0,1,0
56.425764600,0,0,0,1,0,0,0,0,1,1
56.425773250,0,0,0,1,0,0,0,0,1,0
56.425833750,0,0,0,1,0,0,0,0,1,1
56.425842400,0,0,0,1,0,0,0,0,1,0
56.425851000,0,0,0,1,0,0,0,0,1,1
56.425859650,0,0,0,1,0,0,0,0,1,0
56.425876950,0,0,0,1,0,0,0,0,1,1
56.425885600,0,0,0,1,0,0,0,0,1,0
56.425920150,0,0,0,1,0,0,0,0,1,1
56.425928800,0,0,0,1,0,0,0,0,1,0
56.425937400,0,0,0,1,0,0,0,0,1,1
56.425946050,0,0,0,1,0,0,0,0,1,0
56.426006550,0,0,0,1,0,0,0,0,1,1
56.426015200,0,0,0,1,0,0,0,0,1,0
56.426032450,0,0,0,1,0,0,0,0,1,1
56.426041100,0,0,0,1,0,0,0,0,1,0
56.426084300,0,0,0,1,0,0,0,0,1,1
56.426101600,0,0,0,1,0,0,0,0,1,0
56.426110200,0,0,0,1,0,0,0,0,1,1
56.426118850,0,0,0,1,0,0,0,0,1,0
56.426179350,0,0,0,1,0,0,0,0,1,1
56.426188000,0,0,0,1,0,0,0,0,1,0
56.426196600,0,0,0,1,0,0,0,0,1,1
56.426205250,0,0,0,1,0,0,0,0,1,0
56.426213900,0,0,0,1,0,0,0,0,1,1
56.426222550,0,0,0,1,0,0,0,0,1,0
56.426231200,0,0,0,1,0,0,0,0,1,1
56.426239850,0,0,0,1,0,0,0,0,1,0
56.426257100,0,0,0,1,0,0,0,0,1,1
56.426274400,0,0,0,1,0,0,0,0,1,0
56.426291650,0,0,0,1,0,0,0,0,1,1
56.426300300,0,0,0,1,0,0,0,0,1,0
56.426308950,0,0,0,1,0,0,0,0,1,1
