Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
11.690923750,1,0,0,0,1,1,0,0
11.823615750,1,1,0,0,1,1,0,1
11.823615800,0,1,0,0,1,0,0,1
11.823643300,0,1,0,0,0,0,1,0
11.823643550,0,1,0,0,0,0,0,1
11.823643850,0,1,0,0,0,1,1,1
11.823643900,0,1,0,0,0,1,1,0
11.823644750,0,1,0,0,1,1,1,0
11.823649150,1,0,0,0,1,0,0,0
12.282365250,1,0,0,0,1,0,0,1
12.323615250,0,1,0,0,1,0,0,1
12.323642200,0,1,0,0,0,0,1,0
12.323642450,0,1,0,0,0,0,0,1
12.323642800,0,1,0,0,0,1,1,0
12.323643650,0,1,0,0,1,1,1,0
12.323648400,1,0,0,0,1,0,0,0
12.689960050,1,0,0,0,0,1,0,0
12.690911600,1,0,0,0,1,0,1,0
12.690913300,1,0,0,0,0,0,0,1
12.690936650,1,0,0,0,1,1,0,0
12.823621350,1,1,0,0,1,1,0,1
12.823621400,0,1,0,0,1,0,0,1
12.823647550,0,1,0,0,1,0,1,1
12.823647600,0,1,0,0,0,0,1,0
12.823647800,0,1,0,0,0,0,0,1
12.823648150,0,1,0,0,0,1,1,0
12.823648950,0,1,0,0,1,1,1,0
12.823653450,1,1,0,0,1,1,1,0
12.823653500,1,0,0,0,1,0,0,0
13.282378750,1,0,0,0,1,0,0,1
13.323628150,0,1,0,0,1,0,0,1
13.323653800,0,1,0,0,0,0,1,0
13.323654050,0,1,0,0,0,0,0,1
13.323654400,0,1,0,0,0,1,1,0
13.323655250,0,1,0,0,1,1,1,0
13.323659800,1,0,0,0,1,0,0,0
13.689975750,1,0,0,0,0,1,0,0
13.690924200,1,0,0,0,1,0,1,0
13.690925900,1,0,0,0,0,0,1,1
13.690925950,1,0,0,0,0,0,0,1
13.690949900,1,0,0,0,1,1,0,0
13.823640450,1,1,0,0,1,1,0,1
13.823640500,0,1,0,0,1,0,0,1
13.823666700,0,1,0,0,0,0,1,0
13.823666950,0,1,0,0,0,0,0,1
13.823667300,0,1,0,0,0,1,1,0
13.823668200,0,1,0,0,1,1,1,0
13.823672800,1,0,0,0,1,0,0,0
14.282385550,1,0,0,0,1,0,0,1
14.323642650,1,1,0,0,1,0,0,1
14.323642700,0,1,0,0,1,0,0,1
14.323669200,0,1,0,0,0,0,1,0
14.323669450,0,1,0,0,0,0,0,1
14.323669800,0,1,0,0,0,1,1,0
14.323670650,0,1,0,0,1,1,1,0
14.323675000,1,0,0,0,1,0,0,0
14.689979300,1,0,0,0,0,1,0,0
14.690928300,1,0,0,0,1,0,1,0
14.690929950,1,0,0,0,0,0,1,1
14.690930000,1,0,0,0,0,0,0,1
14.690953500,1,0,0,0,1,1,0,0
14.823659950,0,1,0,0,1,0,0,1
14.823686950,0,1,0,0,1,0,1,1
14.823687000,0,1,0,0,0,0,1,0
14.823687200,0,1,0,0,0,0,0,1
14.823687550,0,1,0,0,0,1,1,0
14.823688450,0,1,0,0,1,1,1,0
14.823692750,1,1,0,0,1,1,1,0
14.823692800,1,0,0,0,1,0,0,0
15.282389850,1,0,0,0,1,0,0,1
15.323664700,0,1,0,0,1,0,0,1
15.323690700,0,1,0,0,0,0,1,0
15.323690950,0,1,0,0,0,0,0,1
15.323691300,0,1,0,0,0,1,1,0
15.323692150,0,1,0,0,1,1,1,0
15.323696650,1,0,0,0,1,0,0,0
15.689991250,1,0,0,0,1,1,0,0
15.689991300,1,0,0,0,0,1,0,0
15.690932300,1,0,0,0,1,0,1,0
15.690934350,1,0,0,0,0,0,0,1
15.690956900,1,0,0,0,1,1,0,0
15.823674700,1,1,0,0,1,1,0,1
15.823674750,0,1,0,0,1,0,0,1
15.823701600,0,1,0,0,0,0,1,0
15.823701950,0,1,0,0,0,0,0,1
15.823702300,0,1,0,0,0,1,1,0
15.823703150,0,1,0,0,1,1,1,0
15.823707450,1,0,0,0,1,0,0,0
16.282400600,1,0,0,0,1,0,0,1
16.323686300,0,1,0,0,1,0,0,1
16.323712850,0,1,0,0,0,0,1,0
16.323713100,0,1,0,0,0,0,0,1
16.323713450,0,1,0,0,0,1,1,0
16.323714300,0,1,0,0,1,1,1,0
16.323718700,1,1,0,0,1,1,1,0
16.323718750,1,0,0,0,1,0,0,0
16.689999050,1,0,0,0,0,1,0,0
16.690937200,1,0,0,0,1,0,1,0
16.690938850,1,0,0,0,0,0,0,1
16.690962200,1,0,0,0,1,1,0,0
16.823693000,1,1,0,0,1,1,0,1
16.823693050,0,1,0,0,1,0,0,1
16.823720200,0,1,0,0,0,0,1,0
16.823720400,0,1,0,0,0,0,1,1
16.823720450,0,1,0,0,0,0,0,1
16.823720750,0,1,0,0,0,1,1,0
16.823721600,0,1,0,0,1,1,1,0
16.823726200,1,0,0,0,1,0,0,0
17.282407750,1,0,0,0,1,0,0,1
17.323697900,0,1,0,0,1,0,0,1
17.323723900,0,1,0,0,0,0,1,0
17.323724150,0,1,0,0,0,0,0,1
17.323724500,0,1,0,0,0,1,1,0
17.323725350,0,1,0,0,1,1,1,0
17.323729650,1,1,0,0,1,0,1,0
17.323729700,1,0,0,0,1,0,0,0
17.689997650,1,0,0,0,0,1,0,0
17.690949950,1,0,0,0,1,0,1,0
17.690951650,1,0,0,0,0,0,0,1
17.690975150,1,0,0,0,1,1,0,0
17.823706200,1,1,0,0,1,0,0,1
17.823706250,0,1,0,0,1,0,0,1
17.823732450,0,1,0,0,0,0,1,0
17.823732700,0,1,0,0,0,0,0,1
