Time [s],Value,Parity Error,Framing Error
150.326513500000004,0x02,,
150.326599899999991,0xF3,,
150.326686300000006,0x23,,
150.326772699999992,0xFA,,
150.326859100000007,0xBC,,
150.326945499999994,0x98,,
150.327031900000009,0x02,,
150.327118299999995,0x0D,,
150.327204700000010,0x56,,
150.327291099999997,0x00,,
150.826356049999987,0x01,,
150.826442450000002,0x0A,,
150.826528849999988,0x02,,
150.826615250000003,0xF4,,
150.826701649999990,0x23,,
150.826788050000005,0xE2,,
150.826874449999991,0xC4,,
150.826960850000006,0x98,,
150.827047249999993,0x02,,
150.827133650000007,0x03,,
150.827220049999994,0xD1,,
150.827306450000009,0x00,,
151.326354149999986,0x01,,
151.326440550000001,0x0A,,
151.326526949999987,0x02,,
151.326613350000002,0xF4,,
151.326699749999989,0x23,,
151.326786150000004,0xE2,,
151.326872549999990,0xC4,,
151.326958950000005,0x98,,
151.327045349999992,0x02,,
151.327131750000007,0x03,,
151.327218149999993,0xD1,,
151.327304550000008,0x00,,
151.826369550000010,0x01,,
151.826455949999996,0x0A,,
151.826542350000011,0x02,,
151.826628749999998,0xF5,,
151.826715150000012,0x23,,
151.826801549999999,0xCA,,
151.826887950000014,0xCC,,
151.826974350000000,0x98,,
151.827060749999987,0x02,,
151.827147150000002,0xB0,,
151.827233549999988,0x58,,
151.827319950000003,0x00,,
152.326384899999994,0x01,,
152.326471300000009,0x0A,,
152.326557699999995,0x02,,
152.326644100000010,0xF5,,
152.326730499999996,0x23,,
152.326816900000011,0xCA,,
152.326903299999998,0xCC,,
152.326989700000013,0x98,,
152.327076099999999,0x02,,
152.327162499999986,0xB0,,
152.327248900000001,0x58,,
152.327335299999987,0x00,,
152.826400250000006,0x01,,
152.826486649999993,0x0A,,
152.826573050000007,0x02,,
152.826659449999994,0xF6,,
152.826745850000009,0x23,,
152.826832249999995,0xB2,,
152.826918650000010,0xD4,,
152.827005049999997,0x98,,
152.827091450000012,0x02,,
152.827177849999998,0x24,,
152.827264250000013,0xC0,,
152.827350650000000,0x00,,
153.326406999999989,0x01,,
153.326493400000004,0x0A,,
153.326579799999990,0x02,,
153.326666200000005,0xF6,,
153.326752599999992,0x23,,
153.326839000000007,0xB2,,
153.326925399999993,0xD4,,
153.327011800000008,0x98,,
153.327098199999995,0x02,,
153.327184600000010,0x24,,
153.327270999999996,0xC0,,
153.327357400000011,0x00,,
153.826422350000001,0x01,,
153.826508749999988,0x0A,,
153.826595150000003,0x02,,
153.826681549999989,0xF7,,
153.826767950000004,0x23,,
153.826854349999991,0x9A,,
153.826940750000006,0xDC,,
153.827027149999992,0x98,,
153.827113550000007,0x02,,
153.827199949999994,0x97,,
153.827286350000008,0x49,,
153.827372749999995,0x00,,
154.326429100000013,0x01,,
154.326515499999999,0x0A,,
154.326601899999986,0x02,,
154.326688300000001,0xF7,,
154.326774699999987,0x23,,
154.326861100000002,0x9A,,
154.326947499999989,0xDC,,
154.327033900000004,0x98,,
154.327120299999990,0x02,,
154.327206700000005,0x97,,
154.327293099999991,0x49,,
154.327379500000006,0x00,,
154.826435849999996,0x01,,
154.826522199999999,0x0A,,
154.826608649999997,0x02,,
154.826695050000012,0xF8,,
154.826781449999999,0x23,,
154.826867850000014,0x82,,
154.826954250000000,0xE4,,
154.827040649999986,0x98,,
154.827127050000001,0x02,,
154.827213449999988,0x05,,
154.827299850000003,0xCE,,
154.827386249999989,0x00,,
155.326442549999996,0x01,,
155.326528950000011,0x0A,,
155.326615349999997,0x02,,
155.326701750000012,0xF8,,
155.326788149999999,0x23,,
155.326874550000014,0x82,,
155.326960950000000,0xE4,,
155.327047349999987,0x98,,
155.327133750000002,0x02,,
155.327220149999988,0x05,,
155.327306550000003,0xCE,,
155.327392949999989,0x00,,
155.826466549999992,0x01,,
155.826552950000007,0x0A,,
155.826639349999994,0x02,,
155.826725750000008,0xF9,,
155.826812149999995,0x23,,
155.826898550000010,0xEA,,
155.826984949999996,0xEB,,
155.827071350000011,0x98,,
155.827157749999998,0x02,,
155.827244150000013,0xB7,,
155.827330549999999,0xE3,,
155.827416950000014,0x00,,
156.326473300000004,0x01,,
156.326559699999990,0x0A,,
156.326646100000005,0x02,,
156.326732499999991,0xF9,,
156.326818900000006,0x23,,
156.326905299999993,0xEA,,
156.326991700000008,0xEB,,
156.327078099999994,0x98,,
156.327164500000009,0x02,,
156.327250899999996,0xB7,,
156.327337300000011,0xE3,,
156.327423699999997,0x00,,
156.826480000000004,0x01,,
156.826566399999990,0x0A,,
156.826652800000005,0x02,,
156.826739199999992,0xFA,,
156.826825600000006,0x23,,
156.826911999999993,0xD2,,
156.826998400000008,0xF3,,
156.827084799999994,0x98,,
156.827171200000009,0x02,,
156.827257599999996,0xE3,,
156.827344000000011,0x6E,,
156.827430399999997,0x00,,
157.326495399999999,0x01,,
157.326581800000014,0x0A,,
157.326668200000000,0x02,,
157.326754599999987,0xFA,,
157.326841000000002,0x23,,
157.326927399999988,0xD2,,
157.327013800000003,0xF3,,
157.327100199999990,0x98,,
157.327186600000005,0x02,,
157.327272999999991,0xE3,,
157.327359400000006,0x6E,,
157.327445799999992,0x00,,
157.826510750000011,0x01,,
157.826597149999998,0x0A,,
157.826683550000013,0x02,,
157.826769949999999,0xFB,,
157.826856350000014,0x23,,
157.826942750000001,0xBA,,
157.827029149999987,0xFB,,
157.827115550000002,0x98,,
157.827201949999989,0x02,,
157.827288350000003,0x90,,
157.827374749999990,0xF2,,
157.827461150000005,0x00,,
158.326517499999994,0x01,,
158.326603900000009,0x0A,,
158.326690299999996,0x02,,
158.326776700000011,0xFB,,
158.326863099999997,0x23,,
158.326949500000012,0xBA,,
158.327035899999998,0xFB,,
158.327122300000013,0x98,,
158.327208700000000,0x02,,
158.327295099999986,0x90,,
158.327381500000001,0xF2,,
158.327467899999988,0x00,,
158.826515550000011,0x01,,
158.826601949999997,0x0A,,
158.826688350000012,0x02,,
158.826774749999998,0xFC,,
158.826861150000013,0x23,,
158.826947550000000,0xA2,,
158.827033949999986,0x83,,
158.827120350000001,0x99,,
158.827206749999988,0x02,,
158.827293150000003,0x0E,,
158.827379549999989,0x74,,
158.827465950000004,0x00,,
159.326522299999993,0x01,,
159.326608700000008,0x0A,,
159.326695099999995,0x02,,
159.326781500000010,0xFC,,
159.326867899999996,0x23,,
159.326954300000011,0xA2,,
159.327040699999998,0x83,,
159.327127100000013,0x99,,
159.327213499999999,0x02,,
159.327299900000014,0x0E,,
159.327386300000001,0x74,,
159.327472699999987,0x00,,
159.826529050000005,0x01,,
159.826615400000009,0x0A,,
159.826701799999995,0x02,,
159.826788200000010,0xFD,,
159.826874650000008,0x23,,
159.826961000000011,0x8A,,
159.827047450000009,0x8B,,
159.827133849999996,0x99,,
159.827220250000011,0x02,,
159.827306599999986,0xBD,,
159.827393050000012,0xFD,,
159.827479449999998,0x00,,
160.326535750000005,0x01,,
160.326622149999992,0x0A,,
160.326708550000006,0x02,,
160.326794949999993,0xFD,,
160.326881350000008,0x23,,
160.326967749999994,0x8A,,
160.327054150000009,0x8B,,
160.327140549999996,0x99,,
160.327226950000011,0x02,,
160.327313349999997,0xBD,,
160.327399750000012,0xFD,,
160.327486149999999,0x00,,
160.826533850000004,0x01,,
160.826620249999991,0x0A,,
160.826706650000006,0x02,,
160.826793049999992,0xFE,,
160.826879450000007,0x23,,
160.826965849999993,0xF2,,
160.827052250000008,0x92,,
160.827138649999995,0x99,,
160.827225050000010,0x02,,
160.827311449999996,0xE9,,
160.827397850000011,0x34,,
160.827484249999998,0x00,,
161.326540550000004,0x01,,
161.326626949999991,0x0A,,
161.326713350000006,0x02,,
161.326799749999992,0xFE,,
161.326886150000007,0x23,,
161.326972549999994,0xF2,,
161.327058950000009,0x92,,
161.327145349999995,0x99,,
161.327231750000010,0x02,,
161.327318149999996,0xE9,,
161.327404550000011,0x34,,
161.327490949999998,0x00,,
161.826547299999987,0x01,,
161.826633700000002,0x0A,,
161.826720099999989,0x02,,
161.826806500000004,0xFF,,
161.826892899999990,0x23,,
161.826979300000005,0xDA,,
161.827065699999991,0x9A,,
161.827152100000006,0x99,,
161.827238499999993,0x02,,
161.827324900000008,0x5A,,
161.827411299999994,0xBD,,
161.827497700000009,0x00,,
162.326553999999987,0x01,,
162.326640400000002,0x0A,,
162.326726799999989,0x02,,
162.326813200000004,0xFF,,
162.326899599999990,0x23,,
162.326986000000005,0xDA,,
162.327072399999992,0x9A,,
162.327158800000007,0x99,,
162.327245199999993,0x02,,
162.327331600000008,0x5A,,
162.327417999999994,0xBD,,
162.327504400000009,0x00,,
162.826569400000011,0x01,,
162.826655799999997,0x0A,,
162.826742200000012,0x02,,
162.826828599999999,0x80,,
162.826915000000014,0x24,,
162.827001400000000,0xC2,,
162.827087799999987,0xA2,,
162.827174200000002,0x99,,
162.827260599999988,0x02,,
162.827347000000003,0x38,,
162.827433399999990,0x84,,
162.827519800000005,0x00,,
163.326584749999995,0x01,,
163.326671150000010,0x0A,,
163.326757549999996,0x02,,
163.326843950000011,0x80,,
163.326930349999998,0x24,,
163.327016750000013,0xC2,,
163.327103149999999,0xA2,,
163.327189550000014,0x99,,
163.327275950000001,0x02,,
163.327362349999987,0x38,,
163.327448750000002,0x84,,
163.327535149999989,0x00,,
163.826600100000007,0x01,,
163.826686499999994,0x0A,,
163.826772900000009,0x02,,
163.826859299999995,0x81,,
163.826945700000010,0x24,,
163.827032099999997,0xAA,,
163.827118500000012,0xAA,,
163.827204899999998,0x99,,
163.827291300000013,0x02,,
163.827377700000000,0x4B,,
163.827464099999986,0x18,,
163.827550500000001,0x00,,
164.326615500000003,0x01,,
164.326701850000006,0x0A,,
164.326788249999993,0x02,,
164.326874650000008,0x81,,
164.326961049999994,0x24,,
164.327047450000009,0xAA,,
164.327133900000007,0xAA,,
164.327220299999993,0x99,,
164.327306700000008,0x02,,
164.327393050000012,0x4B,,
164.327479500000010,0x18,,
164.327565899999996,0x00,,
164.826630849999987,0x01,,
164.826717250000002,0x0A,,
164.826803649999988,0x02,,
164.826890050000003,0x82,,
164.826976449999989,0x24,,
164.827062850000004,0x92,,
164.827149249999991,0xB2,,
164.827235650000006,0x99,,
164.827322049999992,0x02,,
164.827408450000007,0x1F,,
164.827494849999994,0x95,,
164.827581250000009,0x00,,
165.326637549999987,0x01,,
165.326723950000002,0x0A,,
165.326810349999988,0x02,,
165.326896750000003,0x82,,
165.326983149999990,0x24,,
165.327069550000004,0x92,,
165.327155949999991,0xB2,,
165.327242350000006,0x99,,
165.327328749999992,0x02,,
165.327415150000007,0x1F,,
165.327501549999994,0x95,,
165.327587950000009,0x00,,
165.826652950000010,0x01,,
165.826739300000014,0x0A,,
165.826825700000001,0x02,,
165.826912099999987,0x83,,
165.826998550000013,0x24,,
165.827084899999988,0xFA,,
165.827171349999986,0xB9,,
165.827257750000001,0x99,,
165.827344149999988,0x02,,
165.827430499999991,0x6C,,
165.827516949999989,0xF9,,
165.827603350000004,0x00,,
166.326650999999998,0x01,,
166.326737400000013,0x0A,,
166.326823800000000,0x02,,
166.326910199999986,0x83,,
166.326996600000001,0x24,,
166.327082999999988,0xFA,,
166.327169400000002,0xB9,,
166.327255799999989,0x99,,
166.327342200000004,0x02,,
166.327428599999990,0x6C,,
166.327515000000005,0xF9,,
166.327601399999992,0x00,,
166.826666350000011,0x01,,
166.826752749999997,0x0A,,
166.826839150000012,0x02,,
166.826925549999999,0x84,,
166.827011950000013,0x24,,
166.827098350000000,0xE2,,
166.827184749999986,0xC1,,
166.827271150000001,0x99,,
166.827357549999988,0x02,,
166.827443950000003,0x62,,
166.827530349999989,0x7E,,
166.827616750000004,0x00,,
167.326673099999994,0x01,,
